country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name,gtap10_country_number,gtap10_country_code,gtap10_country_group,gtap10_country_name,env_ssp_country_code,env_ssp_country_name
"CHE",84,"CHE","Switzerland","Switzerland",82,"CHE","Switzerland","Switzerland","CHE","Swiss Confederation, The"
"CHL",35,"CHL","Chile","Chile",34,"CHL","Chile","Chile","CHL","Chile, The Republic"
"CHN",4,"CHN","China","China",4,"CHN","China","China","CHN","China, The People's Republic of"
"CIV",125,"CIV","Côte d'Ivoire","Côte d'Ivoire",116,"CIV","Côte d'Ivoire","Côte d'Ivoire","CIV","Côte d'Ivoire, The Republic of"
"CMR",124,"CMR","Cameroon","Cameroon",115,"CMR","Cameroon","Cameroon","CMR","Cameroon, The Republic"
"COD",137,"COD","Democratic Republic of the Congo","Democratic Republic of the Congo",124,"XAC","South Central Africa","Congo, Democratic Republic of the","COD","Congo, The Democratic Republic of the"
"COG",136,"COG","Congo","Congo",123,"XCF","Rest of Central Africa","Congo","COG","Congo, The Republic of the"
"COK",3,"XOC","Rest of Oceania","Cook Islands",3,"XOC","Rest of Oceania","Cook Islands","COK","Cook Islands, The"
"COL",36,"COL","Colombia","Colombia",35,"COL","Colombia","Colombia","COL","Colombia, The Republic of"
"COM",141,"COM","Comoros","Comoros",136,"XEC","Rest of Eastern Africa","Comoros","COM","Comoros, The Union of the"
"CPV",133,"XWF","Rest of Western Africa","Cabo Verde",122,"XWF","Rest of Western Africa","Cape Verde","CPV","Cabo Verde, The Republic of"
"CRI",43,"CRI","Costa Rica","Costa Rica",42,"CRI","Costa Rica","Costa Rica","CRI","Costa Rica, The Republic of"
"CRQ",93,"XER","Rest of Europe","Sark",,"","","","CHI","Channel Islands"
"CUB",55,"XCB","Rest of Caribbean","Cuba",53,"XCB","Rest of Caribbean","Cuba","CUB","Cuba, The Republic of"
"CUW",55,"XCB","Rest of Caribbean","Curaçao",53,"XCB","Rest of Caribbean","Netherlands Antilles","ANT","Netherland Antilles"
